ra,dec
348.07892,-6.19736
348.07858,-6.19753
348.07824,-6.19769
348.07790,-6.19786
348.07755,-6.19803
348.07721,-6.19819
348.07686,-6.19836
348.07651,-6.19853
348.07617,-6.19870
348.07582,-6.19886
348.07547,-6.19903
348.07512,-6.19920
348.07477,-6.19937
348.07442,-6.19954
348.07407,-6.19971
348.07372,-6.19988
348.07336,-6.20005
348.07301,-6.20022
348.07265,-6.20039
348.07230,-6.20056
348.07194,-6.20073
348.07158,-6.20090
348.07123,-6.20107
348.07087,-6.20125
348.07051,-6.20142
348.07015,-6.20159
348.06979,-6.20177
348.06943,-6.20194
348.06906,-6.20211
348.06870,-6.20229
348.06834,-6.20246
348.06797,-6.20264
348.06761,-6.20281
348.06724,-6.20299
348.06687,-6.20316
348.06650,-6.20334
348.06614,-6.20351
348.06577,-6.20369
348.06540,-6.20387
348.06503,-6.20404
348.06465,-6.20422
348.06428,-6.20440
348.06391,-6.20458
348.06354,-6.20476
348.06316,-6.20493
348.06279,-6.20511
348.06241,-6.20529
348.06203,-6.20547
348.06166,-6.20565
348.06128,-6.20583
348.06090,-6.20601
348.06052,-6.20619
348.06014,-6.20637
348.05976,-6.20655
348.05937,-6.20674
348.05899,-6.20692
348.05861,-6.20710
348.05822,-6.20728
348.05784,-6.20747
348.05745,-6.20765
348.05707,-6.20783
348.05668,-6.20802
348.05629,-6.20820
348.05590,-6.20838
348.05551,-6.20857
348.05512,-6.20875
348.05473,-6.20894
348.05434,-6.20913
348.05395,-6.20931
348.05355,-6.20950
348.05316,-6.20968
348.05276,-6.20987
348.05237,-6.21006
348.05197,-6.21025
348.05157,-6.21043
348.05118,-6.21062
348.05078,-6.21081
348.05038,-6.21100
348.04998,-6.21119
348.04958,-6.21138
348.04918,-6.21157
348.04877,-6.21176
348.04837,-6.21195
348.04797,-6.21214
348.04756,-6.21233
348.04716,-6.21252
348.04675,-6.21271
348.04634,-6.21290
348.04594,-6.21309
348.04553,-6.21328
348.04512,-6.21348
348.04471,-6.21367
348.04430,-6.21386
348.04389,-6.21406
348.04347,-6.21425
348.04306,-6.21444
348.04265,-6.21464
348.04223,-6.21483
348.04182,-6.21503
348.04140,-6.21522
348.04099,-6.21542
348.04057,-6.21561
348.04015,-6.21581
348.03973,-6.21601
348.03931,-6.21620
348.03889,-6.21640
348.03847,-6.21660
348.03805,-6.21680
348.03763,-6.21699
348.03720,-6.21719
348.03678,-6.21739
348.03635,-6.21759
348.03593,-6.21779
348.03550,-6.21799
348.03508,-6.21819
348.03465,-6.21839
348.03422,-6.21859
348.03379,-6.21879
348.03336,-6.21899
348.03293,-6.21919
348.03250,-6.21939
348.03207,-6.21959
348.03163,-6.21980
348.03120,-6.22000
348.03077,-6.22020
348.03033,-6.22040
348.02989,-6.22061
348.02946,-6.22081
348.02902,-6.22101
348.02858,-6.22122
348.02814,-6.22142
348.02770,-6.22163
348.02726,-6.22183
348.02682,-6.22204
348.02638,-6.22224
348.02594,-6.22245
348.02550,-6.22266
348.02505,-6.22286
348.02461,-6.22307
348.02416,-6.22328
348.02371,-6.22348
348.02327,-6.22369
348.02282,-6.22390
348.02237,-6.22411
348.02192,-6.22432
348.02147,-6.22452
348.02102,-6.22473
348.02057,-6.22494
348.02012,-6.22515
348.01967,-6.22536
348.01921,-6.22557
348.01876,-6.22578
348.01830,-6.22600
348.01785,-6.22621
348.01739,-6.22642
348.01693,-6.22663
348.01648,-6.22684
348.01602,-6.22705
348.01556,-6.22727
348.01510,-6.22748
348.01464,-6.22769
348.01418,-6.22791
348.01371,-6.22812
348.01325,-6.22833
348.01279,-6.22855
348.01232,-6.22876
348.01186,-6.22898
348.01139,-6.22919
348.01092,-6.22941
348.01046,-6.22962
348.00999,-6.22984
348.00952,-6.23006
348.00905,-6.23027
348.00858,-6.23049
348.00811,-6.23071
348.00764,-6.23093
348.00717,-6.23114
348.00669,-6.23136
348.00622,-6.23158
348.00574,-6.23180
348.00527,-6.23202
348.00479,-6.23224
348.00432,-6.23246
348.00384,-6.23268
348.00336,-6.23290
348.00288,-6.23312
348.00240,-6.23334
348.00192,-6.23356
348.00144,-6.23378
348.00096,-6.23400
348.00048,-6.23422
347.99999,-6.23445
347.99951,-6.23467
347.99902,-6.23489
347.99854,-6.23511
347.99805,-6.23534
347.99757,-6.23556
347.99708,-6.23578
347.99659,-6.23601
347.99610,-6.23623
347.99561,-6.23646
347.99512,-6.23668
347.99463,-6.23691
347.99414,-6.23713
347.99364,-6.23736
347.99315,-6.23759
347.99266,-6.23781
347.99216,-6.23804
347.99167,-6.23827
347.99117,-6.23849
347.99067,-6.23872
347.99018,-6.23895
347.98968,-6.23918
347.98918,-6.23940
347.98868,-6.23963
347.98818,-6.23986
347.98768,-6.24009
347.98718,-6.24032
347.98667,-6.24055
347.98617,-6.24078
347.98567,-6.24101
347.98516,-6.24124
347.98466,-6.24147
347.98415,-6.24171
347.98364,-6.24194
347.98314,-6.24217
347.98263,-6.24240
347.98212,-6.24263
347.98161,-6.24287
347.98110,-6.24310
347.98059,-6.24333
347.98008,-6.24357
347.97956,-6.24380
347.97905,-6.24403
347.97854,-6.24427
347.97802,-6.24450
347.97751,-6.24474
347.97699,-6.24497
347.97647,-6.24521
347.97596,-6.24544
347.97544,-6.24568
347.97492,-6.24592
347.97440,-6.24615
347.97388,-6.24639
347.97336,-6.24663
347.97284,-6.24687
347.97231,-6.24710
347.97179,-6.24734
347.97127,-6.24758
347.97074,-6.24782
347.97022,-6.24806
347.96969,-6.24830
347.96916,-6.24854
347.96864,-6.24878
347.96811,-6.24902
347.96758,-6.24926
347.96705,-6.24950
347.96652,-6.24974
347.96599,-6.24998
347.96546,-6.25022
347.96492,-6.25046
347.96439,-6.25070
347.96386,-6.25095
347.96332,-6.25119
347.96279,-6.25143
347.96225,-6.25168
347.96172,-6.25192
347.96118,-6.25216
347.96064,-6.25241
347.96010,-6.25265
347.95956,-6.25290
347.95902,-6.25314
347.95848,-6.25339
347.95794,-6.25363
347.95740,-6.25388
347.95686,-6.25412
347.95631,-6.25437
347.95577,-6.25461
347.95522,-6.25486
347.95468,-6.25511
347.95413,-6.25536
347.95358,-6.25560
347.95304,-6.25585
347.95249,-6.25610
347.95194,-6.25635
