RA_d,DEC_d
58.226,25.29542
56.57838,23.81348
58.34029,24.05744
58.699925,25.208462
56.426871,25.057092
56.72333,24.28753
56.644667,21.992778
55.51188,22.37864
56.89033,24.68422
57.816171,26.560933
56.84354,22.51978
55.433,25.082792
55.76575,23.90558
56.615367,23.812694
56.42371,25.68681
59.23108,22.14019
56.11671,24.17156
58.64496,21.88394
56.060993,23.827885
56.2720158,23.7026781
57.312981,24.606302
55.10671,24.10008
54.083708,24.661956
58.39392,24.07731
57.42167,22.94469
57.648351,22.134527
55.264946,23.421481
57.795242,22.134675
58.3185,23.34956
56.642708,23.834333
56.87115231,24.10513565
56.082,23.89608
56.174258,22.464556
58.007283,22.160472
56.70504,24.60003
56.78962,23.43239
56.424417,24.431517
56.25471,24.778107
56.78392,24.30686
57.31408,24.56731
56.23888,23.99236
55.475869,25.729809
56.417696,25.687067
56.7239896,23.5835603
55.11229,24.23736
55.80442,24.65542
57.588821,27.144472
56.883917,24.405111
55.51192,24.21011
56.338283,23.7275
57.73588,25.58519
58.420647,24.419393
59.039929,22.467153
56.55117,25.55044
57.33733,26.19272
55.51217,23.93164
56.794366,23.971251
57.50267,25.39886
56.615737,23.5927
56.27213,25.48644
57.357165,24.9376317
56.15592,25.13781
56.34788,24.85081
57.32,24.01636
56.31717,24.12119
53.756721,24.513078
57.03838,23.97803
57.82946,24.17039
56.861511,23.634094
57.19171,24.17022
57.38792,24.21806
58.13067,25.25217
56.34246,23.47172
56.593593,23.485628
56.6960675,22.9145697
58.24487,25.43872
55.79058,24.6925
57.37375,22.303694
57.5736275,25.3795611
57.61392,23.37925
57.354725,23.795047
56.12529,25.59639
56.59775,24.03094
57.85167,24.08742
55.86238,24.45275
55.35279,25.385
55.685239,23.971001
56.53125,24.37439
57.14783,24.20094
53.98839,24.602522
56.94937,25.22625
55.755824,23.491879
56.66408,24.02969
55.959,24.20825
58.111483,25.682678
56.790692,22.4677
58.21546,22.52586
57.379054,22.4575
57.28679,25.89692
56.67992,23.62283
57.38004,23.68886
56.842675,26.390153
56.45392,23.85289
56.57017,24.44092
57.210146,22.741736
55.80442,24.65542
54.462458,25.157028
56.36063,22.52561
57.02425,23.03419
56.9503712,23.2180878
56.91571,23.00133
55.85479,22.89572
56.4317,25.9285
54.994479,22.298547
54.725646,24.704389
54.0040283,24.2660544
58.4355,24.01181
55.812058,23.585094
54.618254,24.450728
58.00942,24.36339
56.79942,24.23167
56.124379,22.060286
56.0811,24.260814
57.1085,25.24475
55.96112,25.2689753
55.46792,24.69942
55.41492,23.76311
56.46033,23.87394
57.77958,23.34939
57.91263,22.75028
57.566451,26.193724
56.84354,22.51978
54.48504,23.38247
57.3582637,24.2477064
59.42904,25.38528
57.51642,24.93422
56.72513,25.24583
55.49858,24.70517
56.061058,24.1019
57.07235,23.806642
56.54892,24.62231
59.73392,23.46497
55.49054,23.66839
56.630471,22.305523
56.032667,25.240983
55.90383,24.39394
57.0645,25.24353
57.421366,23.249895
58.38063,26.52808
57.599438,24.180992
56.5528725,23.1285411
58.74179,25.2415
55.757992,26.731772
55.641752,23.414461
55.158673,26.641497
58.21575,23.56344
56.73787,23.25069
57.704,22.67006
56.77825,23.715169
58.381521,26.61675
56.4397,23.963353
57.918529,24.983189
55.829181,22.786299
55.67546,25.19692
55.42042,25.90675
55.49608,25.92092
57.49804,24.19614
55.6114942,26.8170314
57.055448,23.979752
56.263658,23.839394
56.70279,23.48019
57.48237,24.74214
55.659775,25.479052
56.7288513,24.7963483
54.92157713,23.29088
56.989992,26.629278
56.28617,22.64186
57.99308,23.97211
55.8005,24.74592
56.28933,23.97917
54.865846,23.895019
57.09438,22.87269
56.13329,23.87528
55.55617,24.31383
55.305042,24.090444
56.75975,23.54342
55.51192,24.21011
55.506941,22.3908
57.72767,24.36558
56.681622,23.995152
56.63383,23.983
56.954729,23.318397
55.86092,24.99433
56.67913,24.41406
56.7447537,22.2539997
56.24408,23.92806
56.87325,23.88047
58.76533,25.22136
56.197181,24.010532
54.921292,23.473208
55.81913,23.83383
56.358242,23.430206
56.85767,22.34933
56.49663,23.81306
54.92796,23.90775
57.31837,24.06367
56.298875,23.695444
55.37996,24.05694
56.60263,24.47958
57.08575,23.51714
55.355484,22.548937
58.147132,25.017994
54.3954504,24.2365483
56.830654,24.139064
56.8121825,22.4700481
56.7559,23.494986
57.662275,22.912556
58.18529,24.34989
58.45058,23.97008
57.37417,23.64878
56.017665,24.9898453
55.49446,23.70736
56.7105721,23.2391867
56.935167,24.615472
58.252133,23.541289
56.443638,23.795361
56.36063,22.52561
57.99717,24.66642
57.42167,22.94469
55.16796,25.84678
56.2911737,21.7045869
56.020458,26.969641
55.690179,23.823036
55.365908,23.708314
57.79946,23.74542
57.036745,25.029398
57.25475,23.63772
59.077462,23.964449
56.09411,22.491839
56.375909,24.312662
57.4704729,25.6474567
57.55108,23.99592
55.47054,24.12361
57.387617,24.534106
56.62921,23.02636
58.69108,22.89867
56.955944,23.531445
55.29275,25.76561
55.72575,24.13653
56.527153,23.839014
56.94325,24.05072
56.60046,24.50364
55.67438,24.00439
57.117283,25.373881
59.104093,23.090816
54.955833,23.955058
56.28419142,26.29250414
57.52675,26.97197
58.20288,21.70786
54.573525,22.817369
57.557237,24.792256
57.7755,22.63361
56.708417,24.006641
57.384,23.27172
56.37433,22.40422
56.45339618,23.14714879
55.51642,22.42689
55.51963,25.88589
57.23767,26.61503
56.64804,24.02656
56.521226,23.759752
56.31837,23.56719
57.665417,26.571583
57.80771,25.38656
56.91975,22.29442
56.89671,25.54397
55.17996,22.83169
56.21348483,23.26892406
56.52771,22.39272
56.74496,24.36897
57.34133,24.91211
55.143154,23.682603
56.63342,24.47625
56.14755,24.001353
57.97467,24.04769
56.619258,24.758994
56.235,24.43261
55.762263,24.669758
56.51525,25.87475
53.79346,24.53194
56.349141,21.87742
56.463847,24.295702
56.995717,21.731194
58.18013,24.46631
57.1835,25.10631
57.24285,23.094204
56.724817,24.1326
54.9738396,26.7169833
56.58271,24.98378
58.12879,24.54436
56.112,24.40883
57.175575,25.007936
54.55429,24.63808
57.070458,23.636806
56.79592,24.23103
56.728637,24.466665
56.8617912,23.6783367
55.16679,24.73586
56.308,26.58839
55.127992,24.487233
56.920717,22.929975
56.681622,23.995152
56.41367,24.13906
56.44554,21.74706
57.54483,24.47822
56.046675,23.379342
57.575864,24.587704
57.29754,24.24019
57.075029,23.891469
57.09438,22.87269
54.264439,24.743233
58.009325,24.663264
57.052233,22.321872
55.39496,23.63772
56.791108,26.139864
56.751482,23.880096
57.82249,22.168223
57.09454,23.46197
56.703251,23.068745
55.8005,24.74592
55.47104,27.07869
56.46088,23.74367
55.6415,24.18356
58.68413,25.25311
53.648173,23.645479
55.8831425,23.6740772
56.86842,24.67592
56.527096,24.567436
