RA_d,DEC_d,Name,SpT,e_SpT,Teff,Vmag,B-V,Icmag,V-Ic,logL*,M*,e_M*,E_M*,Age,e_Age,E_Age,R*,e_R*,Per,Cl,Notes,Simbad,_RA,_DE
71.46393,15.92687,2MASS J04455134+1555367,M2.50,1.0,3425.0,,,,,,,,,,,,,,,2,"c,f",Simbad,71.46393,15.92687
70.28442,25.93541,ITG 33A,M3,1.0,3360.0,,,,,,,,,,,,,,,2,"c,f",Simbad,70.28442,25.93541
67.40027,24.59879,2MASS J04293606+2435556,M3,1.0,3360.0,,,,,,,,,,,,,,,2,"c,f",Simbad,67.40027,24.59879
63.71808,28.09994,2MASS J04145234+2805598,M3.25,0.25,3310.0,,,,,,,,,,,,,,,3,"c,f",Simbad,63.71808,28.09994
76.1725,25.16511,2MASS J05044139+2509544,M3.50,1.0,3260.0,,,,,,,,,,,,,,,2,"c,f",Simbad,76.1725,25.16511
76.5972,24.53887,2MASS J05062332+2432199,M3.50,0.5,3260.0,,,,,,,,,,,,,,,2,"c,f",Simbad,76.5972,24.53887
70.35267,25.73139,2MASS J04412464+2543530,M3.50,1.0,3260.0,,,,,,,,,,,,,,,2,"c,f",Simbad,70.35267,25.73139
74.00492,30.44301,2MASS J04560118+3026348,M3.50,1.0,3260.0,,,,,,,,,,,,,,,2,"c,f",Simbad,74.00492,30.44301
65.10861,28.06915,2MASS J04202606+2804089,M3.50,1.0,3260.0,,,,,,,,,,,,,,2.854,2,c,Simbad,65.10861,28.06915
65.82596,26.68767,2MASS J04231822+2641156,M3.50,1.0,3260.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.82596,26.68767
63.91318,28.31628,2MASS J04153916+2818586,M3.75,1.0,3210.0,,,,,,,,,,,,,,,2,"c,f",Simbad,63.91318,28.31628
65.9133,24.93725,FT Tau,M3e,1.0,3360.0,,,,,,,,,,,,,,8.3,2,c,Simbad,65.9133,24.93725
76.56978,24.76951,2MASS J05061674+2446102,M4,1.0,3160.0,,,,,,,,,,,,,,,3,"c,f",Simbad,76.56978,24.76951
67.3363,26.5613,[HJS91] 507,M4,1.0,3160.0,,,,,,,,,,,,,,,3,"c,f",Simbad,67.3363,26.5613
76.97902,25.00434,2MASS J05075496+2500156,M4,1.0,3160.0,,,,,,,,,,,,,,,2,"c,f",Simbad,76.97902,25.00434
65.10764,28.32326,2MASS J04202583+2819237,M4,1.0,3160.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.10764,28.32326
68.35921,22.75814,2MASS J04332621+2245293,M4,0.25,3160.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.35921,22.75814
68.42383,17.84451,2MASS J04334171+1750402,M4,1.0,3160.0,,,,,,,,,,,,,,,2,"c,f",Simbad,68.42382,17.84451
73.98356,30.60582,2MASS J04555605+3036209,M4,1.0,3160.0,,,,,,,,,,,,,,,2,"c,f",Simbad,73.98356,30.60582
64.66763,28.40681,2MASS J04184023+2824245,M4,1.0,3160.0,,,,,,,,,,,,,,,2,"c,f",Simbad,64.66763,28.40681
64.56875,28.46611,[SS94] V410 Anon 12,M4,1.0,3160.0,,,,,,,,,,,,,,,,"c,f",Simbad,64.56875,28.46611
64.82792,28.25306,[SS94] V410 X-ray 8e,M4:,1.0,3160.0,,,,,,,,,,,,,,,,"c,f",Simbad,64.82792,28.25306
68.20575,22.88562,2MASS J04324938+2253082,M4.25,1.0,3090.0,,,,,,,,,,,,,,,2,"c,f",Simbad,68.20575,22.88562
